aldjuma|vendredi|(pas d'explication enregistrée)
allat|dimanche|(pas d'explication enregistrée)
asawe|samedi (en Guinée)|(pas d'explication enregistrée)
cokki|jeux de dames|(pas d'explication enregistrée)
djemma|nuit|(pas d'explication enregistrée)
djarama|bonjour|(pas d'explication enregistrée)
fijundaaru|jeu|(pas d'explication enregistrée)
gorko|garçon (pl: worBe)|(pas d'explication enregistrée)
innde|nom|(pas d'explication enregistrée)
janngude|étudier|(pas d'explication enregistrée)
leydi|terre|(pas d'explication enregistrée)
luji|messi|jour
mawdo|grand|(pas d'explication enregistrée)
néné|mère|(pas d'explication enregistrée)
nyaamde|manger|(pas d'explication enregistrée)
nyalorma|jour|(pas d'explication enregistrée)
pipi|popo|pepe
wakkilaarè|le courage|(pas d'explication enregistrée)
yarde|boire|(pas d'explication enregistrée)
